"DDBJ	  ",http://www.ddbj.nig.ac.jp,,
"	",   http://www.ncbi.nlm.nih.gov,,
"	",   http://www.ebi.ac.uk,,
"1000 Genomes Selection Browser	  ",   http://bigd.big.ac.cn,,
"16S and 23S Ribosomal RNA Mutation Database	  ",   http://www.ddbj.nig.ac.jp,,
"2D-PAGE	  ",   http://proteininformationresource.org/iPTMnet,,
"2P2Idb	  ",http://www.ncbi.nlm.nih.gov/genbank/,,
"3D rRNA modification maps	  ",   http://kobic.re.kr/3divv2/,,
"3D-Footprint	  ",   http://combio.snu.ac.kr/aspedia,,
"3DID - 3D interacting domains	  ",   http://cirgrdb.biols.ac.cn,,
"3D-Interologs	  ",   http://dbcorc.cam-su.org/,,
"3DIV	  ",   http://biocc.hrbmu.edu.cn/DiseaseEnhancer/,,
"3DNALandscapes	  ",   http://rna.sysu.edu.cn/dreamBase,,
"3DSNP	  ",   http://61.148.58.210,8080/EpiDenovo/,
3DSwap,   http://www.exoRBase.org,,
"4DXpress	  ",   http://zdzlab.einstein.yu.edu/1/hedd.php,,
"5S Ribosomal RNA Database	  ",   http://icg.big.ac.cn,,
"AAgAtlas	  ",   http://itsonedb.cloud.ba.infn.it/,,
"AAgMarker	  ",   http://www.bio-bigdata.com/Lnc2Meth,,
"AAindex	  ",   http://m6avar.renlab.org/,,
"ABA - Ascidian Body Atlas	  ",   http://mcube.nju.edu.cn/jwang/lab/soft/mirtrans/,,
"aBiofilm	  ",   http://medreader.org/,,
"ABS	  ",   http://mircarta.cs.uni-saarland.de/,,
"ACLAME - A Classification of Mobile genetic Elements	  ",   http://cm.jefferson.edu/MINTbase/,,
"AcrDB	  ",   http://ccg.vital-it.ch/mga/,,
"AcrHub	  ",   http://www.bio-bigdata.com/msdd/,,
"ActiveDriverDB	  s",   http://overgenedb.amu.edu.pl,,
"ACTIVITY	  ",   http://rise.zhanglab.net,,
"ADDA - A Domain Database	  ",   http://iimcb.genesilico.pl/RNArchitecture/,,
"Addgene Repository Database	  ",   http://www.translatomedb.net/,,
"ADHDgene	  ",   http://appris-tools.org,,
"ADPriboDB	  ",   http://brp.kfshrc.edu.sa/ared,,
"ADReCS	  ","   http://www.ncbi.nlm.nih.gov/CCDS/CcdsBrowse.cgi	ftp",   http://ftp.ncbi.nlm.nih.gov/pub/CCDS/,
"ADReCS-Target	  ",   http://dbtss.hgc.jp/,,
"AffinDB	  ",   http://www.microrna.gr/tarbase,,
"AgBase	  ",   http://www.ebi.ac.uk/gxa,,
"AGD - Ashbya Genome Database	  ","   http://hocomoco.autosome.ru/	  ",   http://www.cbrc.kaust.edu.sa/hocomoco11/,
"AgeFactDB	  ",   http://jaspar.genereg.net,,
"Aging Atlas	  s",   http://remap.cisreg.eu,,
"AgingChart	  ",   http://bioinfo.life.hust.edu.cn/lncRNASNP2,,
"AGRIS - Arabidopsis Gene Regulatory Information Server	  ","   http://compgenomics.utsa.edu/MeTDB/	  ",   http://www.xjtlu.edu.cn/metdb2,
"AHTPdb	  ",   http://bigd.big.ac.cn/methbank,,
"al MENA	  ",   http://miRTarBase.mbc.nctu.edu.tw/,,
